ID,Group,Input Ingredients,Output Item
openblocks:epic_eraser_action,openblocks:eraser,,
actuallyadditions:potion_ring_charging,,,
actuallyadditions:bio_mash,,,
draconicevolution:recipe_dislocator_clone,,,
chiselsandbits:bitbagdyeing,,,
chiselsandbits:positiveprintcrafting,,,
chiselsandbits:chiselcrafting,,,
chiselsandbits:stackablecrafting,,,
chiselsandbits:negativepatterncrafting,,,
chiselsandbits:mirrorpatterncrafting,,,
chiselsandbits:bitsawcrafting,,,
quark:slabs_to_blocks,,,
opencomputers:colorizeboots,,,
opencomputers:decolorizeboots,,,
opencomputers:colorizecable,,,
opencomputers:decolorizecable,,,
opencomputers:lootcycling,,,
railcraft:cart_furnace_recipe,,minecraft:furnace_minecart:*,
railcraft:prototype,,,
railcraft:cart_work_recipe,,railcraft:cart_work:*,
immersivepetroleum:projector,,,
actuallyadditions:recipes85,actuallyadditions:recipes86,"actuallyadditions:block_energizer
actuallyadditions:block_enervator
actuallyadditions:item_misc:7",actuallyadditions:block_battery_box
actuallyadditions:recipes83,actuallyadditions:recipes84,actuallyadditions:block_canola_press,actuallyadditions:block_canola_press
actuallyadditions:recipes84,actuallyadditions:recipes85,actuallyadditions:block_fermenting_barrel,actuallyadditions:block_fermenting_barrel
actuallyadditions:recipes82,actuallyadditions:recipes83,actuallyadditions:block_fluid_collector,actuallyadditions:block_fluid_collector
actuallyadditions:recipes81,actuallyadditions:recipes82,actuallyadditions:block_fluid_placer,actuallyadditions:block_fluid_placer
actuallyadditions:recipes157,actuallyadditions:recipes158,"actuallyadditions:block_inputter
actuallyadditions:item_misc:8
ore:gemQuartzBlack
actuallyadditions:item_crystal",actuallyadditions:block_inputter_advanced
actuallyadditions:recipes115,actuallyadditions:recipes116,"actuallyadditions:block_item_viewer
minecraft:hopper",actuallyadditions:block_item_viewer_hopping
actuallyadditions:recipes113,actuallyadditions:recipes114,"actuallyadditions:block_laser_relay_item
actuallyadditions:item_misc:8
ore:gemQuartzBlack
actuallyadditions:item_crystal",actuallyadditions:block_laser_relay_item_whitelist
actuallyadditions:recipes80,actuallyadditions:recipes81,actuallyadditions:block_oil_generator,actuallyadditions:block_oil_generator
actuallyadditions:recipes137,actuallyadditions:recipes138,"actuallyadditions:block_breaker
actuallyadditions:block_phantomface",actuallyadditions:block_phantom_breaker
actuallyadditions:recipes136,actuallyadditions:recipes137,"actuallyadditions:block_placer
actuallyadditions:block_phantomface",actuallyadditions:block_phantom_placer
actuallyadditions:recipes328,actuallyadditions:recipes329,"minecraft:diamond_axe
minecraft:diamond_pickaxe
minecraft:diamond_shovel
minecraft:diamond_sword
minecraft:diamond_hoe",actuallyadditions:diamond_paxel
actuallyadditions:recipes329,actuallyadditions:recipes330,"actuallyadditions:item_axe_emerald
actuallyadditions:item_pickaxe_emerald
actuallyadditions:item_sword_emerald
actuallyadditions:item_shovel_emerald
actuallyadditions:item_hoe_emerald",actuallyadditions:emerald_paxel
actuallyadditions:recipes327,actuallyadditions:recipes328,"minecraft:golden_axe
minecraft:golden_pickaxe
minecraft:golden_shovel
minecraft:golden_sword
minecraft:golden_hoe",actuallyadditions:gold_paxel
actuallyadditions:recipes326,actuallyadditions:recipes327,"minecraft:iron_axe
minecraft:iron_pickaxe
minecraft:iron_shovel
minecraft:iron_sword
minecraft:iron_hoe",actuallyadditions:iron_paxel
actuallyadditions:recipes9,actuallyadditions:recipes10,"actuallyadditions:item_canola_seed
minecraft:paper",actuallyadditions:item_booklet
actuallyadditions:recipes58,actuallyadditions:recipes59,actuallyadditions:item_misc:13,actuallyadditions:item_canola_seed
actuallyadditions:recipes52,actuallyadditions:recipes53,"minecraft:crafting_table
minecraft:sign",actuallyadditions:item_crafter_on_a_stick
actuallyadditions:recipes185,actuallyadditions:recipes186,actuallyadditions:block_crystal,actuallyadditions:item_crystal x9
actuallyadditions:recipes191,actuallyadditions:recipes192,actuallyadditions:block_crystal:1,actuallyadditions:item_crystal:1 x9
actuallyadditions:recipes197,actuallyadditions:recipes198,actuallyadditions:block_crystal:2,actuallyadditions:item_crystal:2 x9
actuallyadditions:recipes203,actuallyadditions:recipes204,actuallyadditions:block_crystal:3,actuallyadditions:item_crystal:3 x9
actuallyadditions:recipes209,actuallyadditions:recipes210,actuallyadditions:block_crystal:4,actuallyadditions:item_crystal:4 x9
actuallyadditions:recipes215,actuallyadditions:recipes216,actuallyadditions:block_crystal:5,actuallyadditions:item_crystal:5 x9
actuallyadditions:recipes187,actuallyadditions:recipes188,actuallyadditions:block_crystal_empowered,actuallyadditions:item_crystal_empowered x9
actuallyadditions:recipes193,actuallyadditions:recipes194,actuallyadditions:block_crystal_empowered:1,actuallyadditions:item_crystal_empowered:1 x9
actuallyadditions:recipes199,actuallyadditions:recipes200,actuallyadditions:block_crystal_empowered:2,actuallyadditions:item_crystal_empowered:2 x9
actuallyadditions:recipes205,actuallyadditions:recipes206,actuallyadditions:block_crystal_empowered:3,actuallyadditions:item_crystal_empowered:3 x9
actuallyadditions:recipes211,actuallyadditions:recipes212,actuallyadditions:block_crystal_empowered:4,actuallyadditions:item_crystal_empowered:4 x9
actuallyadditions:recipes217,actuallyadditions:recipes218,actuallyadditions:block_crystal_empowered:5,actuallyadditions:item_crystal_empowered:5 x9
actuallyadditions:recipes189,actuallyadditions:recipes190,actuallyadditions:item_crystal,actuallyadditions:item_crystal_shard x9
actuallyadditions:recipes195,actuallyadditions:recipes196,actuallyadditions:item_crystal:1,actuallyadditions:item_crystal_shard:1 x9
actuallyadditions:recipes201,actuallyadditions:recipes202,actuallyadditions:item_crystal:2,actuallyadditions:item_crystal_shard:2 x9
actuallyadditions:recipes207,actuallyadditions:recipes208,actuallyadditions:item_crystal:3,actuallyadditions:item_crystal_shard:3 x9
actuallyadditions:recipes213,actuallyadditions:recipes214,actuallyadditions:item_crystal:4,actuallyadditions:item_crystal_shard:4 x9
actuallyadditions:recipes219,actuallyadditions:recipes220,actuallyadditions:item_crystal:5,actuallyadditions:item_crystal_shard:5 x9
actuallyadditions:recipes16,actuallyadditions:recipes17,"minecraft:enchanting_table
actuallyadditions:item_crystal_empowered:2
actuallyadditions:item_crystal_empowered:2
actuallyadditions:item_crystal_empowered:2
actuallyadditions:item_crystal_empowered:2
actuallyadditions:item_crystal_empowered:2
actuallyadditions:item_crystal_empowered:2
actuallyadditions:item_crystal_empowered:2
actuallyadditions:item_misc:18",actuallyadditions:item_disenchanting_lens
actuallyadditions:dril_color_change0,actuallyadditions:dril_color_change0,"actuallyadditions:item_drill:3
ore:dyeWhite",actuallyadditions:item_drill
actuallyadditions:dril_color_change1,actuallyadditions:dril_color_change1,"actuallyadditions:item_drill:3
ore:dyeOrange",actuallyadditions:item_drill:1
actuallyadditions:dril_color_change10,actuallyadditions:dril_color_change10,"actuallyadditions:item_drill:3
ore:dyePurple",actuallyadditions:item_drill:10
actuallyadditions:dril_color_change11,actuallyadditions:dril_color_change11,"actuallyadditions:item_drill:3
ore:dyeBlue",actuallyadditions:item_drill:11
actuallyadditions:dril_color_change12,actuallyadditions:dril_color_change12,"actuallyadditions:item_drill:3
ore:dyeBrown",actuallyadditions:item_drill:12
actuallyadditions:dril_color_change13,actuallyadditions:dril_color_change13,"actuallyadditions:item_drill:3
ore:dyeGreen",actuallyadditions:item_drill:13
actuallyadditions:dril_color_change14,actuallyadditions:dril_color_change14,"actuallyadditions:item_drill:3
ore:dyeRed",actuallyadditions:item_drill:14
actuallyadditions:dril_color_change15,actuallyadditions:dril_color_change15,"actuallyadditions:item_drill:3
ore:dyeBlack",actuallyadditions:item_drill:15
actuallyadditions:dril_color_change2,actuallyadditions:dril_color_change2,"actuallyadditions:item_drill:3
ore:dyeMagenta",actuallyadditions:item_drill:2
actuallyadditions:dril_color_change4,actuallyadditions:dril_color_change4,"actuallyadditions:item_drill:3
ore:dyeYellow",actuallyadditions:item_drill:4
actuallyadditions:dril_color_change5,actuallyadditions:dril_color_change5,"actuallyadditions:item_drill:3
ore:dyeLime",actuallyadditions:item_drill:5
actuallyadditions:dril_color_change6,actuallyadditions:dril_color_change6,"actuallyadditions:item_drill:3
ore:dyePink",actuallyadditions:item_drill:6
actuallyadditions:dril_color_change7,actuallyadditions:dril_color_change7,"actuallyadditions:item_drill:3
ore:dyeGray",actuallyadditions:item_drill:7
actuallyadditions:dril_color_change8,actuallyadditions:dril_color_change8,"actuallyadditions:item_drill:3
ore:dyeLightGray",actuallyadditions:item_drill:8
actuallyadditions:dril_color_change9,actuallyadditions:dril_color_change9,"actuallyadditions:item_drill:3
ore:dyeCyan",actuallyadditions:item_drill:9
thermalfoundation:item_dust_1,thermalfoundation,"ore:oreDiamond
ore:dustPetrotheum",actuallyadditions:item_dust:2 x2
thermalfoundation:item_dust_2,thermalfoundation,"ore:oreEmerald
ore:dustPetrotheum",actuallyadditions:item_dust:3 x2
thermalfoundation:item_dust,thermalfoundation,"ore:oreLapis
ore:dustPetrotheum",actuallyadditions:item_dust:4 x2
thermalfoundation:item_dust_3,thermalfoundation,"ore:oreQuartzBlack
ore:dustPetrotheum",actuallyadditions:item_dust:7 x2
actuallyadditions:recipes234,actuallyadditions:recipes235,"minecraft:milk_bucket
minecraft:egg",actuallyadditions:item_food
actuallyadditions:recipes241,actuallyadditions:recipes242,minecraft:bread,actuallyadditions:item_food:10 x2
actuallyadditions:recipes242,actuallyadditions:recipes243,"actuallyadditions:item_food:10
actuallyadditions:item_food:9",actuallyadditions:item_food:19
actuallyadditions:recipes236,actuallyadditions:recipes237,"minecraft:glass_bottle
ore:cropCarrot
actuallyadditions:item_knife:*",actuallyadditions:item_food:2
actuallyadditions:recipes226,actuallyadditions:recipes227,"actuallyadditions:item_knife:*
minecraft:cooked_porkchop",actuallyadditions:item_food:20 x3
actuallyadditions:recipes231,actuallyadditions:recipes232,"minecraft:baked_potato
actuallyadditions:item_knife:*",actuallyadditions:item_food:5 x2
actuallyadditions:recipes238,actuallyadditions:recipes239,"ore:cropWheat
actuallyadditions:item_knife:*",actuallyadditions:item_food:7
actuallyadditions:recipes51,actuallyadditions:recipes52,"actuallyadditions:item_misc:2
actuallyadditions:item_misc:3",actuallyadditions:item_knife
actuallyadditions:recipes10,actuallyadditions:recipes11,actuallyadditions:item_laser_wrench,actuallyadditions:item_laser_wrench
actuallyadditions:recipes53,actuallyadditions:recipes54,minecraft:coal,actuallyadditions:item_misc:10 x8
actuallyadditions:recipes54,actuallyadditions:recipes55,minecraft:coal:1,actuallyadditions:item_misc:11 x8
actuallyadditions:recipes8,actuallyadditions:recipes9,actuallyadditions:block_black_lotus,actuallyadditions:item_misc:17 x2
actuallyadditions:recipes225,actuallyadditions:recipes226,"minecraft:nether_star
minecraft:dragon_breath
ore:gemQuartzBlack
minecraft:prismarine_shard",actuallyadditions:item_misc:19
actuallyadditions:recipes223,actuallyadditions:recipes224,"ore:stickWood
minecraft:leather",actuallyadditions:item_misc:3
actuallyadditions:recipes220,actuallyadditions:recipes221,"ore:cropWheat
ore:cropWheat",actuallyadditions:item_misc:4 x2
thermalfoundation:item_misc,thermalfoundation,"ore:oreQuartzBlack
ore:dustPetrotheum",actuallyadditions:item_misc:5 x2
actuallyadditions:recipes221,actuallyadditions:recipes222,"actuallyadditions:item_food:16
actuallyadditions:item_food:16
actuallyadditions:item_food:16",actuallyadditions:item_misc:9 x2
actuallyadditions:recipes18,actuallyadditions:recipes19,"minecraft:diamond_sword
actuallyadditions:item_damage_lens
minecraft:enchanted_book {StoredEnchantments:[{lvl:5s,id:16s}]}",actuallyadditions:item_more_damage_lens
actuallyadditions:recipes336,actuallyadditions:recipes337,"actuallyadditions:item_axe_crystal_black
actuallyadditions:item_pickaxe_crystal_black
actuallyadditions:item_sword_crystal_black
actuallyadditions:item_shovel_crystal_black
actuallyadditions:item_hoe_crystal_black",actuallyadditions:item_paxel_crystal_black
actuallyadditions:recipes334,actuallyadditions:recipes335,"actuallyadditions:item_axe_crystal_blue
actuallyadditions:item_pickaxe_crystal_blue
actuallyadditions:item_sword_crystal_blue
actuallyadditions:item_shovel_crystal_blue
actuallyadditions:item_hoe_crystal_blue",actuallyadditions:item_paxel_crystal_blue
actuallyadditions:recipes333,actuallyadditions:recipes334,"actuallyadditions:item_axe_crystal_green
actuallyadditions:item_pickaxe_crystal_green
actuallyadditions:item_sword_crystal_green
actuallyadditions:item_shovel_crystal_green
actuallyadditions:item_hoe_crystal_green",actuallyadditions:item_paxel_crystal_green
actuallyadditions:recipes335,actuallyadditions:recipes336,"actuallyadditions:item_axe_crystal_light_blue
actuallyadditions:item_pickaxe_crystal_light_blue
actuallyadditions:item_sword_crystal_light_blue
actuallyadditions:item_shovel_crystal_light_blue
actuallyadditions:item_hoe_crystal_light_blue",actuallyadditions:item_paxel_crystal_light_blue
actuallyadditions:recipes332,actuallyadditions:recipes333,"actuallyadditions:item_axe_crystal_red
actuallyadditions:item_pickaxe_crystal_red
actuallyadditions:item_sword_crystal_red
actuallyadditions:item_shovel_crystal_red
actuallyadditions:item_hoe_crystal_red",actuallyadditions:item_paxel_crystal_red
actuallyadditions:recipes337,actuallyadditions:recipes338,"actuallyadditions:item_axe_crystal_white
actuallyadditions:item_pickaxe_crystal_white
actuallyadditions:item_sword_crystal_white
actuallyadditions:item_shovel_crystal_white
actuallyadditions:item_hoe_crystal_white",actuallyadditions:item_paxel_crystal_white
actuallyadditions:recipes11,actuallyadditions:recipes12,actuallyadditions:item_phantom_connector,actuallyadditions:item_phantom_connector
actuallyadditions:recipes60,actuallyadditions:recipes61,"minecraft:sugar
minecraft:sugar
minecraft:sugar
minecraft:sugar
actuallyadditions:block_crystal:2
minecraft:nether_wart
minecraft:potion {Potion:""minecraft:awkward""}
actuallyadditions:item_misc:6",actuallyadditions:item_potion_ring
actuallyadditions:recipes62,actuallyadditions:recipes63,"minecraft:repeater
minecraft:repeater
minecraft:repeater
minecraft:repeater
actuallyadditions:block_crystal:2
minecraft:nether_wart
minecraft:potion {Potion:""minecraft:awkward""}
actuallyadditions:item_misc:6",actuallyadditions:item_potion_ring:1
actuallyadditions:recipes64,actuallyadditions:recipes65,"minecraft:blaze_powder
minecraft:blaze_powder
minecraft:blaze_powder
minecraft:blaze_powder
actuallyadditions:block_crystal:2
minecraft:nether_wart
minecraft:potion {Potion:""minecraft:awkward""}
actuallyadditions:item_misc:6",actuallyadditions:item_potion_ring:2
actuallyadditions:recipes66,actuallyadditions:recipes67,"minecraft:piston
minecraft:piston
minecraft:piston
minecraft:piston
actuallyadditions:block_crystal:2
minecraft:nether_wart
minecraft:potion {Potion:""minecraft:awkward""}
actuallyadditions:item_misc:6",actuallyadditions:item_potion_ring:3
actuallyadditions:recipes68,actuallyadditions:recipes69,"minecraft:ghast_tear
minecraft:ghast_tear
minecraft:ghast_tear
minecraft:ghast_tear
actuallyadditions:block_crystal:2
minecraft:nether_wart
minecraft:potion {Potion:""minecraft:awkward""}
actuallyadditions:item_misc:6",actuallyadditions:item_potion_ring:4
actuallyadditions:recipes70,actuallyadditions:recipes71,"minecraft:slime_ball
minecraft:slime_ball
minecraft:slime_ball
minecraft:slime_ball
actuallyadditions:block_crystal:2
minecraft:nether_wart
minecraft:potion {Potion:""minecraft:awkward""}
actuallyadditions:item_misc:6",actuallyadditions:item_potion_ring:5
actuallyadditions:recipes72,actuallyadditions:recipes73,"minecraft:magma_cream
minecraft:magma_cream
minecraft:magma_cream
minecraft:magma_cream
actuallyadditions:block_crystal:2
minecraft:nether_wart
minecraft:potion {Potion:""minecraft:awkward""}
actuallyadditions:item_misc:6",actuallyadditions:item_potion_ring:6
actuallyadditions:recipes74,actuallyadditions:recipes75,"minecraft:fish:3
minecraft:fish:3
minecraft:fish:3
minecraft:fish:3
actuallyadditions:block_crystal:2
minecraft:nether_wart
minecraft:potion {Potion:""minecraft:awkward""}
actuallyadditions:item_misc:6",actuallyadditions:item_potion_ring:7
actuallyadditions:recipes76,actuallyadditions:recipes77,"minecraft:fermented_spider_eye
minecraft:fermented_spider_eye
minecraft:fermented_spider_eye
minecraft:fermented_spider_eye
actuallyadditions:block_crystal:2
minecraft:nether_wart
minecraft:potion {Potion:""minecraft:awkward""}
actuallyadditions:item_misc:6",actuallyadditions:item_potion_ring:8
actuallyadditions:recipes78,actuallyadditions:recipes79,"minecraft:golden_carrot
minecraft:golden_carrot
minecraft:golden_carrot
minecraft:golden_carrot
actuallyadditions:block_crystal:2
minecraft:nether_wart
minecraft:potion {Potion:""minecraft:awkward""}
actuallyadditions:item_misc:6",actuallyadditions:item_potion_ring:9
actuallyadditions:recipes61,actuallyadditions:recipes62,"actuallyadditions:item_potion_ring
actuallyadditions:item_misc:19",actuallyadditions:item_potion_ring_advanced
actuallyadditions:recipes63,actuallyadditions:recipes64,"actuallyadditions:item_potion_ring:1
actuallyadditions:item_misc:19",actuallyadditions:item_potion_ring_advanced:1
actuallyadditions:recipes65,actuallyadditions:recipes66,"actuallyadditions:item_potion_ring:2
actuallyadditions:item_misc:19",actuallyadditions:item_potion_ring_advanced:2
actuallyadditions:recipes67,actuallyadditions:recipes68,"actuallyadditions:item_potion_ring:3
actuallyadditions:item_misc:19",actuallyadditions:item_potion_ring_advanced:3
actuallyadditions:recipes69,actuallyadditions:recipes70,"actuallyadditions:item_potion_ring:4
actuallyadditions:item_misc:19",actuallyadditions:item_potion_ring_advanced:4
actuallyadditions:recipes71,actuallyadditions:recipes72,"actuallyadditions:item_potion_ring:5
actuallyadditions:item_misc:19",actuallyadditions:item_potion_ring_advanced:5
actuallyadditions:recipes73,actuallyadditions:recipes74,"actuallyadditions:item_potion_ring:6
actuallyadditions:item_misc:19",actuallyadditions:item_potion_ring_advanced:6
actuallyadditions:recipes75,actuallyadditions:recipes76,"actuallyadditions:item_potion_ring:7
actuallyadditions:item_misc:19",actuallyadditions:item_potion_ring_advanced:7
actuallyadditions:recipes77,actuallyadditions:recipes78,"actuallyadditions:item_potion_ring:8
actuallyadditions:item_misc:19",actuallyadditions:item_potion_ring_advanced:8
actuallyadditions:recipes79,actuallyadditions:recipes80,"actuallyadditions:item_potion_ring:9
actuallyadditions:item_misc:19",actuallyadditions:item_potion_ring_advanced:9
actuallyadditions:recipes46,actuallyadditions:recipes47,"actuallyadditions:item_food:16
ore:nuggetEnderium
minecraft:gunpowder",actuallyadditions:item_resonant_rice
actuallyadditions:recipes57,actuallyadditions:recipes58,actuallyadditions:item_food:16,actuallyadditions:item_rice_seed
actuallyadditions:recipes12,actuallyadditions:recipes13,actuallyadditions:item_spawner_changer,actuallyadditions:item_spawner_changer
actuallyadditions:recipes6,actuallyadditions:recipes7,"actuallyadditions:item_bag
minecraft:ender_pearl
minecraft:obsidian
actuallyadditions:block_crystal:3",actuallyadditions:item_void_bag
actuallyadditions:recipes330,actuallyadditions:recipes331,"actuallyadditions:item_axe_obsidian
actuallyadditions:item_pickaxe_obsidian
actuallyadditions:item_sword_obsidian
actuallyadditions:item_shovel_obsidian
actuallyadditions:item_hoe_obsidian",actuallyadditions:obsidian_paxel
actuallyadditions:recipes331,actuallyadditions:recipes332,"actuallyadditions:item_axe_quartz
actuallyadditions:item_pickaxe_quartz
actuallyadditions:item_sword_quartz
actuallyadditions:item_shovel_quartz
actuallyadditions:item_hoe_quartz",actuallyadditions:quartz_paxel
actuallyadditions:recipes325,actuallyadditions:recipes326,"minecraft:stone_axe
minecraft:stone_pickaxe
minecraft:stone_shovel
minecraft:stone_sword
minecraft:stone_hoe",actuallyadditions:stone_paxel
actuallyadditions:recipes324,actuallyadditions:recipes325,"minecraft:wooden_axe
minecraft:wooden_pickaxe
minecraft:wooden_shovel
minecraft:wooden_sword
minecraft:wooden_hoe",actuallyadditions:wooden_paxel
advgenerators:recipe40,advgenerators:net.bdew.gendustry.recipes,"advgenerators:turbine_rotor_bronze:*
advgenerators:upgrade_kit:*",advgenerators:turbine_kit_bronze
advgenerators:recipe44,advgenerators:net.bdew.gendustry.recipes,"advgenerators:turbine_rotor_enderium:*
advgenerators:upgrade_kit:*",advgenerators:turbine_kit_enderium
advgenerators:recipe32,advgenerators:net.bdew.gendustry.recipes,"advgenerators:turbine_rotor_gold:*
advgenerators:upgrade_kit:*",advgenerators:turbine_kit_gold
advgenerators:recipe48,advgenerators:net.bdew.gendustry.recipes,"advgenerators:turbine_rotor_manyullyn:*
advgenerators:upgrade_kit:*",advgenerators:turbine_kit_manyullyn
advgenerators:recipe36,advgenerators:net.bdew.gendustry.recipes,"advgenerators:turbine_rotor_steel:*
advgenerators:upgrade_kit:*",advgenerators:turbine_kit_steel
advgenerators:recipe30,advgenerators:net.bdew.gendustry.recipes,"minecraft:flint:*
advgenerators:turbine_rotor_gold:*",advgenerators:turbine_rotor_iron
ae2stuff:recipe2,ae2stuff:net.bdew.gendustry.recipes,"minecraft:crafting_table:*
ore:itemIlluminatedPanel
appliedenergistics2:material:23",ae2stuff:encoder
ae2stuff:recipe4,ae2stuff:net.bdew.gendustry.recipes,"appliedenergistics2:material:24
appliedenergistics2:material:41
appliedenergistics2:network_tool:*",ae2stuff:wireless_kit
appliedenergistics2:network/crafting/cpu_crafting_accelerator,,"appliedenergistics2:material:24
appliedenergistics2:crafting_unit",appliedenergistics2:crafting_accelerator
appliedenergistics2:network/crafting/cpu_crafting_monitor,,"appliedenergistics2:part:400
appliedenergistics2:crafting_unit",appliedenergistics2:crafting_monitor
appliedenergistics2:network/crafting/cpu_crafting_storage_16k,,"appliedenergistics2:material:37
appliedenergistics2:crafting_unit",appliedenergistics2:crafting_storage_16k
appliedenergistics2:network/crafting/cpu_crafting_storage_1k,,"appliedenergistics2:crafting_unit
appliedenergistics2:material:35",appliedenergistics2:crafting_storage_1k
appliedenergistics2:network/crafting/cpu_crafting_storage_4k,,"appliedenergistics2:material:36
appliedenergistics2:crafting_unit",appliedenergistics2:crafting_storage_4k
appliedenergistics2:network/crafting/cpu_crafting_storage_64k,,"appliedenergistics2:crafting_unit
appliedenergistics2:material:38",appliedenergistics2:crafting_storage_64k
appliedenergistics2:misc/seeds_certus,,"ore:sand
ore:dustCertusQuartz",appliedenergistics2:crystal_seed {progress:0} x2
appliedenergistics2:misc/seeds_fluix,,"ore:sand
ore:dustFluix",appliedenergistics2:crystal_seed:1200 {progress:1200} x2
appliedenergistics2:misc/seeds_nether,,"ore:sand
ore:dustNetherQuartz",appliedenergistics2:crystal_seed:600 {progress:600} x2
appliedenergistics2:network/blocks/fluid_interfaces_interface_alt,,appliedenergistics2:part:441,appliedenergistics2:fluid_interface
appliedenergistics2:network/cells/fluid_storage_cell_16k_storage,,"appliedenergistics2:material:39
appliedenergistics2:material:56",appliedenergistics2:fluid_storage_cell_16k {}
appliedenergistics2:network/cells/fluid_storage_cell_1k_storage,,"appliedenergistics2:material:39
appliedenergistics2:material:54",appliedenergistics2:fluid_storage_cell_1k {}
appliedenergistics2:network/cells/fluid_storage_cell_4k_storage,,"appliedenergistics2:material:39
appliedenergistics2:material:55",appliedenergistics2:fluid_storage_cell_4k {}
appliedenergistics2:network/cells/fluid_storage_cell_64k_storage,,"appliedenergistics2:material:39
appliedenergistics2:material:57",appliedenergistics2:fluid_storage_cell_64k {}
appliedenergistics2:network/blocks/interfaces_interface_alt,,appliedenergistics2:part:440,appliedenergistics2:interface
appliedenergistics2:misc/deconstruction_certus_quartz_pillar,,appliedenergistics2:quartz_pillar,appliedenergistics2:material x4
appliedenergistics2:misc/deconstruction_certus_quartz_block,,appliedenergistics2:quartz_block,appliedenergistics2:material x4
appliedenergistics2:misc/deconstruction_certus_chiseled_quartz,,appliedenergistics2:chiseled_quartz_block,appliedenergistics2:material x4
appliedenergistics2:materials/cardredstone,,"minecraft:redstone_torch
appliedenergistics2:material:25",appliedenergistics2:material:26
appliedenergistics2:materials/cardcapacity,,"appliedenergistics2:material | appliedenergistics2:material:1 | appliedenergistics2:material:10
appliedenergistics2:material:25",appliedenergistics2:material:27
appliedenergistics2:materials/cardfuzzy,,"appliedenergistics2:material:28
minecraft:wool | minecraft:wool:1 | minecraft:wool:2 | minecraft:wool:3 | minecraft:wool:4 | minecraft:wool:5 | minecraft:wool:6 | minecraft:wool:7 | minecraft:wool:8 | minecraft:wool:9 | minecraft:wool:10 | minecraft:wool:11 | minecraft:wool:12 | minecraft:wool:13 | minecraft:wool:14 | minecraft:wool:15 | minecraft:wool | minecraft:wool:1 | minecraft:wool:2 | minecraft:wool:3 | minecraft:wool:4 | minecraft:wool:5 | minecraft:wool:6 | minecraft:wool:7 | minecraft:wool:8 | minecraft:wool:9 | minecraft:wool:10 | minecraft:wool:11 | minecraft:wool:12 | minecraft:wool:13 | minecraft:wool:14 | minecraft:wool:15",appliedenergistics2:material:29
