ID,Class Name,BlockState Properties,BlockState Class Name
actuallyadditions:block_crystal_cluster_diamond,de.ellpeck.actuallyadditions.mod.blocks.BlockCrystalCluster,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_crystal_cluster_emerald,de.ellpeck.actuallyadditions.mod.blocks.BlockCrystalCluster,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_crystal_cluster_iron,de.ellpeck.actuallyadditions.mod.blocks.BlockCrystalCluster,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_crystal_cluster_lapis,de.ellpeck.actuallyadditions.mod.blocks.BlockCrystalCluster,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_crystal_cluster_redstone,de.ellpeck.actuallyadditions.mod.blocks.BlockCrystalCluster,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_crystal_empowered,de.ellpeck.actuallyadditions.mod.blocks.BlockCrystal,"[PropertyEnum{name=type, clazz=class de.ellpeck.actuallyadditions.mod.items.metalists.TheCrystals, values=[REDSTONE, LAPIS, DIAMOND, COAL, EMERALD, IRON]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_crystal_oil,de.ellpeck.actuallyadditions.mod.blocks.base.BlockFluidFlowing,"[PropertyInteger{name=level, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}]",net.minecraftforge.common.property.ExtendedBlockState
actuallyadditions:block_directional_breaker,de.ellpeck.actuallyadditions.mod.blocks.BlockDirectionalBreaker,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_display_stand,de.ellpeck.actuallyadditions.mod.blocks.BlockDisplayStand,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_dropper,de.ellpeck.actuallyadditions.mod.blocks.BlockDropper,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_empowered_oil,de.ellpeck.actuallyadditions.mod.blocks.base.BlockFluidFlowing,"[PropertyInteger{name=level, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}]",net.minecraftforge.common.property.ExtendedBlockState
actuallyadditions:block_empowerer,de.ellpeck.actuallyadditions.mod.blocks.BlockEmpowerer,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_energizer,de.ellpeck.actuallyadditions.mod.blocks.BlockEnergizer,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_enervator,de.ellpeck.actuallyadditions.mod.blocks.BlockEnergizer,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_farmer,de.ellpeck.actuallyadditions.mod.blocks.BlockFarmer,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_feeder,de.ellpeck.actuallyadditions.mod.blocks.BlockFeeder,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_fermenting_barrel,de.ellpeck.actuallyadditions.mod.blocks.BlockFermentingBarrel,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_firework_box,de.ellpeck.actuallyadditions.mod.blocks.BlockFireworkBox,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_fishing_net,de.ellpeck.actuallyadditions.mod.blocks.BlockFishingNet,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_flax,de.ellpeck.actuallyadditions.mod.blocks.base.BlockPlant,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_fluid_collector,de.ellpeck.actuallyadditions.mod.blocks.BlockFluidCollector,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_fluid_placer,de.ellpeck.actuallyadditions.mod.blocks.BlockFluidCollector,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_furnace_double,de.ellpeck.actuallyadditions.mod.blocks.BlockFurnaceDouble,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}, PropertyBool{name=on, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_furnace_solar,de.ellpeck.actuallyadditions.mod.blocks.BlockFurnaceSolar,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_giant_chest,de.ellpeck.actuallyadditions.mod.blocks.BlockGiantChest,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_giant_chest_large,de.ellpeck.actuallyadditions.mod.blocks.BlockGiantChest,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_giant_chest_medium,de.ellpeck.actuallyadditions.mod.blocks.BlockGiantChest,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_greenhouse_glass,de.ellpeck.actuallyadditions.mod.blocks.BlockGreenhouseGlass,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_grinder,de.ellpeck.actuallyadditions.mod.blocks.BlockGrinder,"[PropertyBool{name=on, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_grinder_double,de.ellpeck.actuallyadditions.mod.blocks.BlockGrinder,"[PropertyBool{name=on, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_heat_collector,de.ellpeck.actuallyadditions.mod.blocks.BlockHeatCollector,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_inputter,de.ellpeck.actuallyadditions.mod.blocks.BlockInputter,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_inputter_advanced,de.ellpeck.actuallyadditions.mod.blocks.BlockInputter,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_item_repairer,de.ellpeck.actuallyadditions.mod.blocks.BlockItemRepairer,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_item_viewer,de.ellpeck.actuallyadditions.mod.blocks.BlockItemViewer,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_item_viewer_hopping,de.ellpeck.actuallyadditions.mod.blocks.BlockItemViewerHopping,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_lamp_powerer,de.ellpeck.actuallyadditions.mod.blocks.BlockLampPowerer,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_laser_relay,de.ellpeck.actuallyadditions.mod.blocks.BlockLaserRelay,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_laser_relay_advanced,de.ellpeck.actuallyadditions.mod.blocks.BlockLaserRelay,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_laser_relay_extreme,de.ellpeck.actuallyadditions.mod.blocks.BlockLaserRelay,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_laser_relay_fluids,de.ellpeck.actuallyadditions.mod.blocks.BlockLaserRelay,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_laser_relay_item,de.ellpeck.actuallyadditions.mod.blocks.BlockLaserRelay,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_laser_relay_item_whitelist,de.ellpeck.actuallyadditions.mod.blocks.BlockLaserRelay,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_lava_factory_controller,de.ellpeck.actuallyadditions.mod.blocks.BlockLavaFactoryController,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_leaf_generator,de.ellpeck.actuallyadditions.mod.blocks.BlockLeafGenerator,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_miner,de.ellpeck.actuallyadditions.mod.blocks.BlockMiner,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_misc,de.ellpeck.actuallyadditions.mod.blocks.BlockMisc,"[PropertyEnum{name=type, clazz=class de.ellpeck.actuallyadditions.mod.blocks.metalists.TheMiscBlocks, values=[QUARTZ_PILLAR, QUARTZ_CHISELED, QUARTZ, ORE_QUARTZ, WOOD_CASING, CHARCOAL_BLOCK, ENDERPEARL_BLOCK, LAVA_FACTORY_CASE, ENDER_CASING, IRON_CASING]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_oil_generator,de.ellpeck.actuallyadditions.mod.blocks.BlockOilGenerator,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_phantom_booster,de.ellpeck.actuallyadditions.mod.blocks.BlockPhantomBooster,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_phantom_breaker,de.ellpeck.actuallyadditions.mod.blocks.BlockPhantom,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_phantom_energyface,de.ellpeck.actuallyadditions.mod.blocks.BlockPhantom,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_phantom_liquiface,de.ellpeck.actuallyadditions.mod.blocks.BlockPhantom,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_phantom_placer,de.ellpeck.actuallyadditions.mod.blocks.BlockPhantom,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_phantom_redstoneface,de.ellpeck.actuallyadditions.mod.blocks.BlockPhantom,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_phantomface,de.ellpeck.actuallyadditions.mod.blocks.BlockPhantom,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_pillar_quartz_slab,de.ellpeck.actuallyadditions.mod.blocks.BlockSlabs,"[PropertyEnum{name=half, clazz=class net.minecraft.block.BlockSlab$EnumBlockHalf, values=[top, bottom]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_pillar_quartz_stair,de.ellpeck.actuallyadditions.mod.blocks.base.BlockStair,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}, PropertyEnum{name=half, clazz=class net.minecraft.block.BlockStairs$EnumHalf, values=[top, bottom]}, PropertyEnum{name=shape, clazz=class net.minecraft.block.BlockStairs$EnumShape, values=[straight, inner_left, inner_right, outer_left, outer_right]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_pillar_quartz_wall,de.ellpeck.actuallyadditions.mod.blocks.BlockWallAA,"[PropertyBool{name=east, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=north, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=south, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=up, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=west, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_placer,de.ellpeck.actuallyadditions.mod.blocks.BlockBreaker,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_player_interface,de.ellpeck.actuallyadditions.mod.blocks.BlockPlayerInterface,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_quartz_slab,de.ellpeck.actuallyadditions.mod.blocks.BlockSlabs,"[PropertyEnum{name=half, clazz=class net.minecraft.block.BlockSlab$EnumBlockHalf, values=[top, bottom]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_quartz_stair,de.ellpeck.actuallyadditions.mod.blocks.base.BlockStair,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}, PropertyEnum{name=half, clazz=class net.minecraft.block.BlockStairs$EnumHalf, values=[top, bottom]}, PropertyEnum{name=shape, clazz=class net.minecraft.block.BlockStairs$EnumShape, values=[straight, inner_left, inner_right, outer_left, outer_right]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_quartz_wall,de.ellpeck.actuallyadditions.mod.blocks.BlockWallAA,"[PropertyBool{name=east, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=north, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=south, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=up, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=west, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_ranged_collector,de.ellpeck.actuallyadditions.mod.blocks.BlockRangedCollector,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_refined_canola_oil,de.ellpeck.actuallyadditions.mod.blocks.base.BlockFluidFlowing,"[PropertyInteger{name=level, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}]",net.minecraftforge.common.property.ExtendedBlockState
actuallyadditions:block_rice,de.ellpeck.actuallyadditions.mod.blocks.base.BlockPlant,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_shock_suppressor,de.ellpeck.actuallyadditions.mod.blocks.BlockShockSuppressor,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_smiley_cloud,de.ellpeck.actuallyadditions.mod.blocks.BlockSmileyCloud,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_testifi_bucks_green_fence,de.ellpeck.actuallyadditions.mod.blocks.BlockWallAA,"[PropertyBool{name=east, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=north, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=south, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=up, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=west, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_testifi_bucks_green_slab,de.ellpeck.actuallyadditions.mod.blocks.BlockSlabs,"[PropertyEnum{name=half, clazz=class net.minecraft.block.BlockSlab$EnumBlockHalf, values=[top, bottom]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_testifi_bucks_green_stairs,de.ellpeck.actuallyadditions.mod.blocks.base.BlockStair,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}, PropertyEnum{name=half, clazz=class net.minecraft.block.BlockStairs$EnumHalf, values=[top, bottom]}, PropertyEnum{name=shape, clazz=class net.minecraft.block.BlockStairs$EnumShape, values=[straight, inner_left, inner_right, outer_left, outer_right]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_testifi_bucks_green_wall,de.ellpeck.actuallyadditions.mod.blocks.BlockGeneric,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_testifi_bucks_white_fence,de.ellpeck.actuallyadditions.mod.blocks.BlockWallAA,"[PropertyBool{name=east, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=north, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=south, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=up, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=west, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_testifi_bucks_white_slab,de.ellpeck.actuallyadditions.mod.blocks.BlockSlabs,"[PropertyEnum{name=half, clazz=class net.minecraft.block.BlockSlab$EnumBlockHalf, values=[top, bottom]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_testifi_bucks_white_stairs,de.ellpeck.actuallyadditions.mod.blocks.base.BlockStair,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}, PropertyEnum{name=half, clazz=class net.minecraft.block.BlockStairs$EnumHalf, values=[top, bottom]}, PropertyEnum{name=shape, clazz=class net.minecraft.block.BlockStairs$EnumShape, values=[straight, inner_left, inner_right, outer_left, outer_right]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_testifi_bucks_white_wall,de.ellpeck.actuallyadditions.mod.blocks.BlockGeneric,[],net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_tiny_torch,de.ellpeck.actuallyadditions.mod.blocks.BlockTinyTorch,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_treasure_chest,de.ellpeck.actuallyadditions.mod.blocks.BlockTreasureChest,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_wild,de.ellpeck.actuallyadditions.mod.blocks.BlockWildPlant,"[PropertyEnum{name=type, clazz=class de.ellpeck.actuallyadditions.mod.blocks.metalists.TheWildPlants, values=[CANOLA, FLAX, RICE, COFFEE]}]",net.minecraft.block.state.BlockStateContainer
actuallyadditions:block_xp_solidifier,de.ellpeck.actuallyadditions.mod.blocks.BlockXPSolidifier,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
advgenerators:control,net.bdew.generators.modules.control.BlockControl$,"[PropertyBool{name=powered, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraftforge.common.property.ExtendedBlockState
advgenerators:efficiency_upgrade_tier1,net.bdew.generators.modules.efficiency.BlockEfficiencyUpgradeTier1$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:efficiency_upgrade_tier2,net.bdew.generators.modules.efficiency.BlockEfficiencyUpgradeTier2$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:exchanger_controller,net.bdew.generators.controllers.exchanger.BlockExchangerController$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:fluid_input,net.bdew.generators.modules.fluidInput.BlockFluidInput$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:fluid_output_select,net.bdew.generators.modules.fluidOutputSelect.BlockFluidOutputSelect$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:forge_output,net.bdew.generators.modules.forgeOutput.BlockForgeOutput$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:fuel_tank,net.bdew.generators.modules.fuelTank.BlockFuelTank$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:generators_data_port,net.bdew.generators.modules.dataport.BlockDataPort$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:heat_exchanger,net.bdew.generators.modules.exchanger.BlockExchanger$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:heating_chamber,net.bdew.generators.modules.heatingChamber.BlockHeatingChamber$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:item_input,net.bdew.generators.modules.itemInput.BlockItemInput$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:item_output,net.bdew.generators.modules.itemOutput.BlockItemOutput$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:mixing_chamber,net.bdew.generators.modules.mixingChamber.BlockMixingChamber$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:power_capacitor_advanced,net.bdew.generators.modules.powerCapacitor.BlockPowerCapacitor,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:power_capacitor_dense,net.bdew.generators.modules.powerCapacitor.BlockPowerCapacitor,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:power_capacitor_redstone,net.bdew.generators.modules.powerCapacitor.BlockPowerCapacitor,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:rf_output,net.bdew.generators.modules.rfOutput.BlockRfOutput$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:sensor,net.bdew.generators.modules.sensor.BlockSensor$,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[down, up, north, south, west, east]}, PropertyBool{name=signal, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraftforge.common.property.ExtendedBlockState
advgenerators:steam,net.bdew.generators.blocks.BlockSteam,"[PropertyInteger{name=level, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}]",net.minecraftforge.common.property.ExtendedBlockState
advgenerators:steam_turbine_controller,net.bdew.generators.controllers.steam.BlockSteamTurbineController$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:syngas,net.bdew.generators.blocks.BlockSyngas,"[PropertyInteger{name=level, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}]",net.minecraftforge.common.property.ExtendedBlockState
advgenerators:syngas_controller,net.bdew.generators.controllers.syngas.BlockSyngasController$,[],net.minecraftforge.common.property.ExtendedBlockState
advgenerators:syngas_flaming,net.bdew.generators.blocks.BlockSyngasFlaming$,[],net.minecraft.block.state.BlockStateContainer
