ID,Group,Input Pattern,Input Ingredients,Output Item,Width,Height
actuallyadditions:recipes198,actuallyadditions:recipes199,"AAA
AAA
AAA",A: actuallyadditions:item_crystal_empowered:2,actuallyadditions:block_crystal_empowered:2,3,3
actuallyadditions:recipes204,actuallyadditions:recipes205,"AAA
AAA
AAA",A: actuallyadditions:item_crystal_empowered:3,actuallyadditions:block_crystal_empowered:3,3,3
actuallyadditions:recipes210,actuallyadditions:recipes211,"AAA
AAA
AAA",A: actuallyadditions:item_crystal_empowered:4,actuallyadditions:block_crystal_empowered:4,3,3
actuallyadditions:recipes216,actuallyadditions:recipes217,"AAA
AAA
AAA",A: actuallyadditions:item_crystal_empowered:5,actuallyadditions:block_crystal_empowered:5,3,3
actuallyadditions:recipes117,actuallyadditions:recipes118,"AAA
-B-","A: actuallyadditions:block_breaker
B: actuallyadditions:item_crystal:3",actuallyadditions:block_directional_breaker,3,2
actuallyadditions:recipes92,actuallyadditions:recipes93,"-A-
BBB
CCC","A: actuallyadditions:item_misc:8
B: actuallyadditions:block_testifi_bucks_green_wall
C: actuallyadditions:block_testifi_bucks_white_wall",actuallyadditions:block_display_stand,3,3
actuallyadditions:recipes166,actuallyadditions:recipes167,"ABA
ACD
ABA","A: ore:cobblestone
B: actuallyadditions:item_crystal:1
C: minecraft:dropper:*
D: actuallyadditions:item_misc:8",actuallyadditions:block_dropper,3,3
actuallyadditions:recipes87,actuallyadditions:recipes88,"-A-
-B-
CDC","A: actuallyadditions:item_crystal
B: actuallyadditions:item_battery_double:*
C: actuallyadditions:block_misc:9
D: actuallyadditions:block_display_stand",actuallyadditions:block_empowerer,3,3
actuallyadditions:recipes128,actuallyadditions:recipes129,"A-A
BCB
A-A","A: actuallyadditions:item_crystal
B: actuallyadditions:item_misc:8
C: actuallyadditions:block_misc:9",actuallyadditions:block_energizer,3,3
actuallyadditions:recipes129,actuallyadditions:recipes130,"-A-
BCB
-A-","A: actuallyadditions:item_crystal
B: actuallyadditions:item_misc:8
C: actuallyadditions:block_misc:9",actuallyadditions:block_enervator,3,3
actuallyadditions:recipes86,actuallyadditions:recipes87,"ABA
BCB
ABA","A: actuallyadditions:block_crystal:5
B: minecraft:wheat_seeds
C: actuallyadditions:block_misc:9",actuallyadditions:block_farmer,3,3
actuallyadditions:recipes161,actuallyadditions:recipes162,"ABA
CDC
ABA","A: ore:plankWood
B: minecraft:golden_carrot
C: actuallyadditions:item_misc:7
D: actuallyadditions:block_misc:4",actuallyadditions:block_feeder,3,3
actuallyadditions:recipes133,actuallyadditions:recipes134,"ABA
ACA
ADA","A: ore:logWood
B: actuallyadditions:item_crystal:5
C: actuallyadditions:item_misc:13
D: actuallyadditions:block_misc:4",actuallyadditions:block_fermenting_barrel,3,3
actuallyadditions:recipes90,actuallyadditions:recipes91,"ABA
CDC
EEE","A: minecraft:gunpowder
B: minecraft:fireworks
C: minecraft:stick
D: actuallyadditions:block_misc:9
E: actuallyadditions:item_crystal:5",actuallyadditions:block_firework_box,3,3
actuallyadditions:recipes150,actuallyadditions:recipes151,"AAA
ABA
AAA","A: minecraft:string:*
B: actuallyadditions:item_crystal_empowered:4",actuallyadditions:block_fishing_net,3,3
actuallyadditions:recipes142,actuallyadditions:recipes143,ABA,"A: minecraft:bucket:*
B: actuallyadditions:block_breaker:*",actuallyadditions:block_fluid_collector,3,1
actuallyadditions:recipes141,actuallyadditions:recipes142,ABA,"A: minecraft:bucket:*
B: actuallyadditions:block_placer:*",actuallyadditions:block_fluid_placer,3,1
actuallyadditions:recipes160,actuallyadditions:recipes161,"ABC
DED
CBA","A: actuallyadditions:item_crystal:5
B: actuallyadditions:item_misc:7
C: ore:cobblestone
D: minecraft:furnace
E: actuallyadditions:block_misc:9",actuallyadditions:block_furnace_double,3,3
actuallyadditions:recipes152,actuallyadditions:recipes153,"ABA
CDC
AEA","A: actuallyadditions:item_crystal_empowered:5
B: actuallyadditions:block_misc:9
C: actuallyadditions:item_misc:8
D: actuallyadditions:item_crystal:2
E: minecraft:iron_bars",actuallyadditions:block_furnace_solar,3,3
actuallyadditions:recipes162,actuallyadditions:recipes163,"ABA
BCB
ABA","A: ore:chestWood
B: ore:plankWood
C: actuallyadditions:block_misc:4",actuallyadditions:block_giant_chest,3,3
actuallyadditions:giant_chest_large,actuallyadditions:giant_chest_large,"ABA
BCB
ABA","A: actuallyadditions:block_crystal_empowered:3
B: ore:plankWood
C: actuallyadditions:block_giant_chest_medium",actuallyadditions:block_giant_chest_large,3,3
actuallyadditions:giant_chest_media,actuallyadditions:giant_chest_media,"ABA
BCB
ABA","A: actuallyadditions:block_crystal:3
B: ore:plankWood
C: actuallyadditions:block_giant_chest",actuallyadditions:block_giant_chest_medium,3,3
actuallyadditions:recipes163,actuallyadditions:recipes164,"ABA
BCB
ABA","A: ore:blockGlass
B: ore:treeSapling
C: actuallyadditions:item_crystal_empowered:1",actuallyadditions:block_greenhouse_glass x2,3,3
actuallyadditions:recipes158,actuallyadditions:recipes159,"ABC
DED
CBA","A: actuallyadditions:item_crystal
B: minecraft:flint
C: ore:cobblestone
D: actuallyadditions:item_misc:7
E: actuallyadditions:block_misc:9",actuallyadditions:block_grinder,3,3
actuallyadditions:recipes159,actuallyadditions:recipes160,"ABA
CDC
ABA","A: ore:cobblestone
B: actuallyadditions:item_misc:8
C: actuallyadditions:block_grinder:*
D: actuallyadditions:block_misc:9",actuallyadditions:block_grinder_double,3,3
actuallyadditions:recipes153,actuallyadditions:recipes154,"ABA
CDC
AEA","A: minecraft:iron_bars
B: minecraft:repeater
C: actuallyadditions:item_misc:8
D: actuallyadditions:item_crystal:5
E: actuallyadditions:block_misc:9",actuallyadditions:block_heat_collector,3,3
actuallyadditions:recipes156,actuallyadditions:recipes157,"AAA
BCB
AAA","A: ore:plankWood
B: actuallyadditions:block_misc:4
C: actuallyadditions:item_crystal:5",actuallyadditions:block_inputter,3,3
actuallyadditions:recipes151,actuallyadditions:recipes152,"ABA
CDC
ABA","A: actuallyadditions:block_crystal_empowered:2
B: actuallyadditions:item_crystal_empowered:5
C: actuallyadditions:item_misc:7
D: actuallyadditions:block_misc:8",actuallyadditions:block_item_repairer,3,3
actuallyadditions:recipes114,actuallyadditions:recipes115,"ABA
CDC
ABA","A: actuallyadditions:item_misc:7
B: minecraft:redstone
C: actuallyadditions:item_crystal
D: ore:chestWood",actuallyadditions:block_item_viewer,3,3
actuallyadditions:recipes183,actuallyadditions:recipes184,"AAA
ABA
AAA","A: actuallyadditions:item_crystal
B: actuallyadditions:block_colored_lamp:*",actuallyadditions:block_lamp_powerer x4,3,3
actuallyadditions:recipes110,actuallyadditions:recipes111,"ABA
CDC
ABA","A: minecraft:obsidian
B: minecraft:redstone_block
C: actuallyadditions:item_crystal
D: actuallyadditions:item_misc:8",actuallyadditions:block_laser_relay x4,3,3
actuallyadditions:recipes111,actuallyadditions:recipes112,"-A-
BCB
-A-","A: actuallyadditions:item_crystal_empowered:5
B: actuallyadditions:item_crystal
C: actuallyadditions:block_laser_relay",actuallyadditions:block_laser_relay_advanced,3,3
actuallyadditions:recipes112,actuallyadditions:recipes113,"-A-
BCB
-A-","A: actuallyadditions:item_crystal_empowered:2
B: actuallyadditions:item_crystal
C: actuallyadditions:block_laser_relay_advanced",actuallyadditions:block_laser_relay_extreme,3,3
actuallyadditions:recipes130,actuallyadditions:recipes131,"ABA
CAC
DDD","A: actuallyadditions:item_misc:8
B: actuallyadditions:block_misc:9
C: actuallyadditions:block_crystal_empowered:5
D: minecraft:lava_bucket:*",actuallyadditions:block_lava_factory_controller,3,3
actuallyadditions:recipes146,actuallyadditions:recipes147,"ABA
CDC
AEA","A: actuallyadditions:item_crystal:5
B: actuallyadditions:block_misc:9
C: actuallyadditions:item_crystal_empowered
D: ore:treeLeaves
E: actuallyadditions:item_misc:8",actuallyadditions:block_leaf_generator,3,3
actuallyadditions:recipes93,actuallyadditions:recipes94,"ABA
BCB
ADA","A: actuallyadditions:block_misc:9
B: ore:blockRedstone
C: actuallyadditions:block_crystal_empowered:3
D: actuallyadditions:item_drill:*",actuallyadditions:block_miner,3,3
actuallyadditions:recipes154,actuallyadditions:recipes155,"A
A",A: ore:gemQuartzBlack,actuallyadditions:block_misc,1,2
actuallyadditions:recipes155,actuallyadditions:recipes156,"A
A",A: actuallyadditions:block_misc:2,actuallyadditions:block_misc:1 x2,1,2
actuallyadditions:recipes149,actuallyadditions:recipes150,"AA
AA",A: ore:gemQuartzBlack,actuallyadditions:block_misc:2,2,2
actuallyadditions:recipes123,actuallyadditions:recipes124,"ABA
BCB
ABA","A: ore:plankWood
B: ore:stickWood
C: ore:logWood",actuallyadditions:block_misc:4,3,3
actuallyadditions:recipes121,actuallyadditions:recipes122,"AAA
AAA
AAA",A: minecraft:coal:1,actuallyadditions:block_misc:5,3,3
actuallyadditions:recipes147,actuallyadditions:recipes148,"AA
AA",A: minecraft:ender_pearl:*,actuallyadditions:block_misc:6,2,2
actuallyadditions:recipes131,actuallyadditions:recipes132,ABA,"A: actuallyadditions:block_crystal:5
B: actuallyadditions:block_misc:9",actuallyadditions:block_misc:7 x32,3,1
actuallyadditions:recipes125,actuallyadditions:recipes126,"ABA
BCB
ABA","A: minecraft:ender_pearl
B: actuallyadditions:item_crystal_empowered:2
C: actuallyadditions:block_misc:2",actuallyadditions:block_misc:8,3,3
actuallyadditions:recipes124,actuallyadditions:recipes125,"ABA
BCB
ABA","A: ore:ingotIron
B: ore:stickWood
C: ore:gemQuartzBlack",actuallyadditions:block_misc:9,3,3
actuallyadditions:recipes143,actuallyadditions:recipes144,"ABA
ACA
ABA","A: ore:cobblestone
B: actuallyadditions:block_misc:9
C: actuallyadditions:item_misc:13",actuallyadditions:block_oil_generator,3,3
actuallyadditions:recipes126,actuallyadditions:recipes127,"ABA
BCB
ABA","A: actuallyadditions:item_crystal
B: actuallyadditions:item_crystal:2
C: actuallyadditions:block_misc:8",actuallyadditions:block_phantom_booster,3,3
actuallyadditions:recipes138,actuallyadditions:recipes139,"-A-
ABA
-A-","A: actuallyadditions:item_crystal_empowered
B: actuallyadditions:block_phantomface:*",actuallyadditions:block_phantom_energyface,3,3
actuallyadditions:recipes140,actuallyadditions:recipes141,ABA,"A: minecraft:bucket:*
B: actuallyadditions:block_phantomface:*",actuallyadditions:block_phantom_liquiface,3,1
actuallyadditions:recipes139,actuallyadditions:recipes140,"ABA
BCB
ABA","A: minecraft:redstone
B: actuallyadditions:item_crystal_empowered
C: actuallyadditions:block_phantomface:*",actuallyadditions:block_phantom_redstoneface,3,3
actuallyadditions:recipes134,actuallyadditions:recipes135,"-A-
BCB
-D-","A: ore:chestWood
B: actuallyadditions:item_crystal_empowered:2
C: actuallyadditions:block_misc:6
D: actuallyadditions:item_misc:8",actuallyadditions:block_phantomface,3,3
actuallyadditions:recipes98,actuallyadditions:recipes99,AAA,A: actuallyadditions:block_misc,actuallyadditions:block_pillar_quartz_slab x6,3,1
actuallyadditions:recipes99,actuallyadditions:recipes100,"A--
AA-
AAA",A: actuallyadditions:block_misc,actuallyadditions:block_pillar_quartz_stair x6,3,3
actuallyadditions:recipes97,actuallyadditions:recipes98,"AAA
AAA",A: actuallyadditions:block_misc,actuallyadditions:block_pillar_quartz_wall x6,3,2
actuallyadditions:recipes164,actuallyadditions:recipes165,"AAA
ABC
AAA","A: ore:cobblestone
B: actuallyadditions:item_misc:7
C: actuallyadditions:item_crystal:1",actuallyadditions:block_placer,3,3
actuallyadditions:recipes135,actuallyadditions:recipes136,"ABA
CAC
ADA","A: actuallyadditions:block_misc:8
B: minecraft:skull:1
C: actuallyadditions:item_crystal_empowered:2
D: actuallyadditions:item_misc:8",actuallyadditions:block_player_interface,3,3
actuallyadditions:recipes95,actuallyadditions:recipes96,AAA,A: actuallyadditions:block_misc:2,actuallyadditions:block_quartz_slab x6,3,1
actuallyadditions:recipes96,actuallyadditions:recipes97,"A--
AA-
AAA",A: actuallyadditions:block_misc:2,actuallyadditions:block_quartz_stair x6,3,3
actuallyadditions:recipes94,actuallyadditions:recipes95,"AAA
AAA",A: actuallyadditions:block_misc:2,actuallyadditions:block_quartz_wall x6,3,2
actuallyadditions:recipes116,actuallyadditions:recipes117,"-A-
BCB
-D-","A: actuallyadditions:item_crystal:3
B: minecraft:ender_pearl
C: minecraft:hopper
D: actuallyadditions:block_misc:9",actuallyadditions:block_ranged_collector,3,3
actuallyadditions:recipes91,actuallyadditions:recipes92,"ABA
BCB
ABA","A: minecraft:obsidian
B: actuallyadditions:item_crystal_empowered:3
C: actuallyadditions:item_misc:8",actuallyadditions:block_shock_suppressor,3,3
actuallyadditions:recipes118,actuallyadditions:recipes119,"-A-
ABA
-A-","A: minecraft:wool:*
B: actuallyadditions:item_solidified_experience",actuallyadditions:block_smiley_cloud,3,3
actuallyadditions:recipes106,actuallyadditions:recipes107,"AAA
AAA",A: actuallyadditions:block_testifi_bucks_green_wall,actuallyadditions:block_testifi_bucks_green_fence x6,3,2
actuallyadditions:recipes107,actuallyadditions:recipes108,AAA,A: actuallyadditions:block_testifi_bucks_green_wall,actuallyadditions:block_testifi_bucks_green_slab x6,3,1
actuallyadditions:recipes108,actuallyadditions:recipes109,"A--
AA-
AAA",A: actuallyadditions:block_testifi_bucks_green_wall,actuallyadditions:block_testifi_bucks_green_stairs x6,3,3
actuallyadditions:recipes103,actuallyadditions:recipes104,"AAA
AAA",A: actuallyadditions:block_testifi_bucks_white_wall,actuallyadditions:block_testifi_bucks_white_fence x6,3,2
actuallyadditions:recipes104,actuallyadditions:recipes105,AAA,A: actuallyadditions:block_testifi_bucks_white_wall,actuallyadditions:block_testifi_bucks_white_slab x6,3,1
actuallyadditions:recipes105,actuallyadditions:recipes106,"A--
AA-
AAA",A: actuallyadditions:block_testifi_bucks_white_wall,actuallyadditions:block_testifi_bucks_white_stairs x6,3,3
actuallyadditions:recipes88,actuallyadditions:recipes89,"A
B","A: actuallyadditions:item_misc:10
B: ore:stickWood",actuallyadditions:block_tiny_torch x2,1,2
actuallyadditions:recipes89,actuallyadditions:recipes90,"A
B","A: actuallyadditions:item_misc:11
B: ore:stickWood",actuallyadditions:block_tiny_torch x2,1,2
actuallyadditions:recipes120,actuallyadditions:recipes121,"AAA
BCB
AAA","A: actuallyadditions:item_solidified_experience
B: actuallyadditions:block_crystal_empowered:2
C: actuallyadditions:item_misc:8",actuallyadditions:block_xp_solidifier,3,3
actuallyadditions:recipes317,actuallyadditions:recipes318,"AA
AB
-B","A: actuallyadditions:item_crystal:3
B: minecraft:stick",actuallyadditions:item_axe_crystal_black,2,3
actuallyadditions:recipes308,actuallyadditions:recipes309,"AA
AB
-B","A: actuallyadditions:item_crystal:1
B: minecraft:stick",actuallyadditions:item_axe_crystal_blue,2,3
actuallyadditions:recipes281,actuallyadditions:recipes282,"AA
AB
-B","A: actuallyadditions:item_crystal:4
B: minecraft:stick",actuallyadditions:item_axe_crystal_green,2,3
actuallyadditions:recipes299,actuallyadditions:recipes300,"AA
AB
-B","A: actuallyadditions:item_crystal:2
B: minecraft:stick",actuallyadditions:item_axe_crystal_light_blue,2,3
actuallyadditions:recipes272,actuallyadditions:recipes273,"AA
AB
-B","A: actuallyadditions:item_crystal
B: minecraft:stick",actuallyadditions:item_axe_crystal_red,2,3
actuallyadditions:recipes290,actuallyadditions:recipes291,"AA
AB
-B","A: actuallyadditions:item_crystal:5
B: minecraft:stick",actuallyadditions:item_axe_crystal_white,2,3
actuallyadditions:recipes245,actuallyadditions:recipes246,"AA
AB
-B","A: minecraft:emerald
B: minecraft:stick",actuallyadditions:item_axe_emerald,2,3
actuallyadditions:recipes263,actuallyadditions:recipes264,"AA
AB
-B","A: minecraft:obsidian
B: minecraft:stick",actuallyadditions:item_axe_obsidian,2,3
actuallyadditions:recipes254,actuallyadditions:recipes255,"AA
AB
-B","A: ore:gemQuartzBlack
B: minecraft:stick",actuallyadditions:item_axe_quartz,2,3
actuallyadditions:recipes5,actuallyadditions:recipes6,"ABA
ACA
BDB","A: minecraft:string
B: minecraft:leather
C: ore:chestWood
D: actuallyadditions:block_crystal:3",actuallyadditions:item_bag,3,3
actuallyadditions:recipes39,actuallyadditions:recipes40,"-A-
BCB
BBB","A: actuallyadditions:item_crystal
B: actuallyadditions:item_crystal:5
C: actuallyadditions:item_misc:8",actuallyadditions:item_battery,3,3
actuallyadditions:double_battery,actuallyadditions:double_battery,"-A-
BCB
BBB","A: actuallyadditions:item_battery
B: actuallyadditions:item_crystal:5
C: actuallyadditions:item_misc:8",actuallyadditions:item_battery_double,3,3
actuallyadditions:quadruple_battery,actuallyadditions:quadruple_battery,"-A-
BCB
BBB","A: actuallyadditions:item_battery_triple
B: actuallyadditions:item_crystal_empowered:5
C: actuallyadditions:item_misc:8",actuallyadditions:item_battery_quadruple,3,3
actuallyadditions:quintuple_battery,actuallyadditions:quintuple_battery,"-A-
BCB
BBB","A: actuallyadditions:item_battery_quadruple
B: actuallyadditions:item_crystal_empowered:2
C: actuallyadditions:item_misc:8",actuallyadditions:item_battery_quintuple,3,3
actuallyadditions:triple_battery,actuallyadditions:triple_battery,"-A-
BCB
BBB","A: actuallyadditions:item_battery_double
B: actuallyadditions:item_crystal_empowered:5
C: actuallyadditions:item_misc:8",actuallyadditions:item_battery_triple,3,3
actuallyadditions:recipes323,actuallyadditions:recipes324,"A-A
A-A",A: actuallyadditions:item_crystal:3,actuallyadditions:item_boots_crystal_black,3,2
actuallyadditions:recipes314,actuallyadditions:recipes315,"A-A
A-A",A: actuallyadditions:item_crystal:1,actuallyadditions:item_boots_crystal_blue,3,2
actuallyadditions:recipes287,actuallyadditions:recipes288,"A-A
A-A",A: actuallyadditions:item_crystal:4,actuallyadditions:item_boots_crystal_green,3,2
actuallyadditions:recipes305,actuallyadditions:recipes306,"A-A
A-A",A: actuallyadditions:item_crystal:2,actuallyadditions:item_boots_crystal_light_blue,3,2
actuallyadditions:recipes278,actuallyadditions:recipes279,"A-A
A-A",A: actuallyadditions:item_crystal,actuallyadditions:item_boots_crystal_red,3,2
actuallyadditions:recipes296,actuallyadditions:recipes297,"A-A
A-A",A: actuallyadditions:item_crystal:5,actuallyadditions:item_boots_crystal_white,3,2
actuallyadditions:recipes251,actuallyadditions:recipes252,"A-A
A-A",A: minecraft:emerald,actuallyadditions:item_boots_emerald,3,2
actuallyadditions:recipes269,actuallyadditions:recipes270,"A-A
A-A",A: minecraft:obsidian,actuallyadditions:item_boots_obsidian,3,2
actuallyadditions:recipes260,actuallyadditions:recipes261,"A-A
A-A",A: ore:gemQuartzBlack,actuallyadditions:item_boots_quartz,3,2
actuallyadditions:recipes321,actuallyadditions:recipes322,"A-A
AAA
AAA",A: actuallyadditions:item_crystal:3,actuallyadditions:item_chest_crystal_black,3,3
actuallyadditions:recipes312,actuallyadditions:recipes313,"A-A
AAA
AAA",A: actuallyadditions:item_crystal:1,actuallyadditions:item_chest_crystal_blue,3,3
actuallyadditions:recipes285,actuallyadditions:recipes286,"A-A
AAA
AAA",A: actuallyadditions:item_crystal:4,actuallyadditions:item_chest_crystal_green,3,3
actuallyadditions:recipes303,actuallyadditions:recipes304,"A-A
AAA
AAA",A: actuallyadditions:item_crystal:2,actuallyadditions:item_chest_crystal_light_blue,3,3
actuallyadditions:recipes276,actuallyadditions:recipes277,"A-A
AAA
AAA",A: actuallyadditions:item_crystal,actuallyadditions:item_chest_crystal_red,3,3
actuallyadditions:recipes294,actuallyadditions:recipes295,"A-A
AAA
AAA",A: actuallyadditions:item_crystal:5,actuallyadditions:item_chest_crystal_white,3,3
actuallyadditions:recipes249,actuallyadditions:recipes250,"A-A
AAA
AAA",A: minecraft:emerald,actuallyadditions:item_chest_emerald,3,3
actuallyadditions:recipes267,actuallyadditions:recipes268,"A-A
AAA
AAA",A: minecraft:obsidian,actuallyadditions:item_chest_obsidian,3,3
actuallyadditions:recipes258,actuallyadditions:recipes259,"A-A
AAA
AAA",A: ore:gemQuartzBlack,actuallyadditions:item_chest_quartz,3,3
actuallyadditions:recipes13,actuallyadditions:recipes14,"-A-
ABA
-A-","A: ore:plankWood
B: actuallyadditions:block_giant_chest",actuallyadditions:item_chest_to_crate_upgrade,3,3
actuallyadditions:recipes20,actuallyadditions:recipes21,"ABA
BCB
ABA","A: ore:plankWood
B: ore:ingotIron
C: ore:gemQuartzBlack",actuallyadditions:item_crate_keeper,3,3
actuallyadditions:recipes188,actuallyadditions:recipes189,"AAA
AAA
AAA",A: actuallyadditions:item_crystal_shard,actuallyadditions:item_crystal,3,3
